,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,kapaa,90.0,US,1573579345.0,100.0,22.08,-159.32,296.15,2.6
2,bandar-e lengeh,0.0,IR,1573579346.0,38.0,26.56,54.88,296.15,2.1
3,avarua,18.0,CK,1573579048.0,83.0,-21.21,-159.78,297.15,4.6
4,kruisfontein,100.0,ZA,1573579346.0,85.0,-34.0,24.73,289.68,10.71
5,lavrentiya,100.0,RU,1573579346.0,91.0,65.58,-170.99,274.37,5.32
6,punta arenas,75.0,CL,1573579212.0,51.0,-53.16,-70.91,289.15,8.7
7,husavik,14.0,CA,1573579346.0,66.0,50.56,-96.99,262.59,3.58
8,lagoa,0.0,PT,1573579346.0,43.0,37.14,-8.45,294.15,5.7
9,jamestown,0.0,AU,1573579245.0,94.0,-33.21,138.6,277.79,3.19
10,gweta,63.0,BW,1573579347.0,35.0,-20.21,25.26,304.19,2.48
11,lorengau,100.0,PG,1573579347.0,81.0,-2.02,147.27,300.5,6.05
12,daru,93.0,PG,1573579347.0,87.0,-9.07,143.21,296.32,2.34
13,mahebourg,75.0,MU,1573579347.0,83.0,-20.41,57.7,298.15,3.1
14,carutapera,12.0,BR,1573579348.0,74.0,-1.2,-46.02,301.15,6.21
15,oranjestad,40.0,AW,1573579121.0,74.0,12.52,-70.03,303.15,6.7
16,albany,75.0,US,1573579292.0,63.0,42.65,-73.75,271.48,8.2
17,acajutla,100.0,SV,1573579289.0,54.0,13.59,-89.83,302.15,3.62
18,vao,100.0,EE,1573579348.0,83.0,59.1,26.19,276.43,5.83
19,ostrovnoy,100.0,RU,1573579349.0,82.0,68.05,39.51,267.42,4.12
20,bluff,23.0,AU,1573578923.0,82.0,-23.58,149.07,291.9,3.05
23,busselton,0.0,AU,1573578923.0,35.0,-33.64,115.35,288.71,7.1
24,turbat,0.0,PK,1573579349.0,22.0,26.0,63.05,293.99,7.58
25,tuktoyaktuk,75.0,CA,1573579349.0,70.0,69.44,-133.03,252.15,10.8
26,yellowknife,75.0,CA,1573579350.0,92.0,62.45,-114.38,264.82,4.1
27,zeya,22.0,RU,1573579350.0,93.0,53.74,127.27,248.77,2.38
28,mataura,100.0,NZ,1573578923.0,62.0,-46.19,168.86,288.15,4.92
30,butaritari,97.0,KI,1573579350.0,80.0,3.07,172.79,300.24,6.46
31,pauini,72.0,BR,1573579350.0,46.0,-7.71,-67.0,306.82,1.44
32,east london,90.0,ZA,1573579352.0,100.0,-33.02,27.91,294.15,6.2
33,high rock,40.0,BS,1573579352.0,58.0,26.63,-78.28,302.15,4.6
34,gazojak,0.0,TM,1573579352.0,16.0,41.19,61.4,279.33,3.29
35,dudinka,40.0,RU,1573579353.0,91.0,69.41,86.18,256.15,5.0
36,sun city west,5.0,US,1573579353.0,28.0,33.66,-112.34,297.59,5.7
37,nikolskoye,75.0,RU,1573579353.0,90.0,59.7,30.79,276.48,3.0
38,san quintin,100.0,PH,1573579353.0,76.0,17.54,120.52,293.99,3.13
39,bredasdorp,55.0,ZA,1573579353.0,82.0,-34.53,20.04,291.48,4.6
40,san patricio,16.0,PY,1573579353.0,42.0,-26.98,-56.83,307.2,2.68
41,boa vista,75.0,BR,1573579078.0,41.0,2.82,-60.67,307.15,5.1
42,pisco,76.0,PE,1573579354.0,30.0,-13.71,-76.2,295.15,5.1
43,ganzhou,0.0,CN,1573579354.0,62.0,25.86,114.93,291.16,0.8
44,mountain home,20.0,US,1573579354.0,40.0,43.13,-115.69,277.04,8.2
45,sioux lookout,1.0,CA,1573579354.0,60.0,50.1,-91.92,260.15,5.1
46,green valley,1.0,US,1573579354.0,43.0,40.41,-89.64,265.93,3.6
